abbr,Latitude,Longitude
JFK,40.6397,-73.7789
LAX,33.9425,-118.4072
DFW,32.8969,-97.0381
HNL,21.3187,-157.9225
OGG,20.8986,-156.4306
MIA,25.7932,-80.2906
BDL,41.9389,-72.6833
BOS,42.3631,-71.0064
ORD,41.9808,-87.9067
SFO,37.6189,-122.375
ATL,33.6367,-84.4281
PHL,39.8722,-75.2408
DCA,38.8522,-77.0378
MCI,39.2975,-94.7139
LAS,36.08,-115.1522
LGA,40.7772,-73.8725
PBI,26.6832,-80.0956
IAD,38.9475,-77.46
SLC,40.7883,-111.9778
DTW,42.2125,-83.3533
SYR,43.1111,-76.1064
MCO,28.4294,-81.3089
TUS,32.1161,-110.9411
STL,38.7486,-90.37
PDX,45.5883,-122.5975
SAN,32.7336,-117.1897
ABQ,35.0403,-106.6092
EWR,40.6925,-74.1686
PHX,33.4342,-112.0117
MEM,35.0425,-89.9767
SNA,33.6756,-117.8683
ONT,34.0561,-117.6011
SJC,37.3628,-121.9292
DEN,39.8617,-104.6731
SJU,18.4394,-66.0019
EGE,39.6414,-106.9175
COS,38.8058,-104.7008
RDU,35.8778,-78.7875
SEA,47.45,-122.3117
RSW,26.5362,-81.7553
BWI,39.1753,-76.6683
RIC,37.5053,-77.3197
MSP,44.8819,-93.2217
GUC,38.5339,-106.9331
TUL,36.1983,-95.8881
LIT,34.7294,-92.2244
STT,18.3373,-64.9733
PSP,33.8297,-116.5067
IND,39.7172,-86.2947
BNA,36.1244,-86.6783
ELP,31.8072,-106.3775
XNA,36.2819,-94.3069
MSY,29.9933,-90.2581
MKE,42.9472,-87.8967
SAT,29.5336,-98.4697
CMH,39.9981,-82.8919
TPA,27.9756,-82.5333
LIH,21.976,-159.3389
FLL,26.0726,-80.1528
AUS,30.1944,-97.67
HDN,40.4811,-107.2178
IAH,29.9844,-95.3414
MFE,26.1758,-98.2386
RNO,39.4992,-119.7681
KOA,19.7388,-156.0456
ICT,37.65,-97.4331
MTJ,38.5097,-107.8942
JAX,30.4942,-81.6878
FAT,36.7761,-119.7181
DSM,41.5339,-93.6631
SPS,33.9889,-98.4919
HSV,34.6372,-86.775
ORF,36.8947,-76.2011
JAC,43.6072,-110.7378
OKC,35.3931,-97.6008
DAY,39.9025,-84.2194
CVG,39.0489,-84.6678
BHM,33.5639,-86.7522
OMA,41.3031,-95.8942
CLT,35.2139,-80.9431
MSN,43.1397,-89.3375
PIT,40.4914,-80.2328
SMF,38.6956,-121.5908
CRP,27.7704,-97.5011
CLE,41.4094,-81.855
SDF,38.1742,-85.7364
LBB,33.6636,-101.8228
BOI,43.5644,-116.2228
STX,17.7016,-64.8017
BLI,48.7928,-122.5375
GEG,47.62,-117.5339
ANC,61.1744,-149.9964
OAK,37.7214,-122.2208
ADQ,57.75,-152.4939
BET,60.7797,-161.8381
BRW,71.2856,-156.7661
SCC,70.1947,-148.4653
FAI,64.8156,-147.8586
JNU,58.355,-134.5764
